@RELATION task_execution_prediction

@ATTRIBUTE task_length NUMERIC
@ATTRIBUTE num_parents NUMERIC
@ATTRIBUTE vm_mips NUMERIC
@ATTRIBUTE vm_pes NUMERIC
@ATTRIBUTE actual_execution_time NUMERIC

@DATA
10680,2,1000,2,5.34
10490,2,1000,2,5.25
10830,2,1000,2,5.42
10890,2,1000,2,5.45
10890,2,1000,2,5.45
10960,2,1000,2,5.48
10500,2,1000,2,5.25
10890,2,1000,2,5.45
10670,2,1000,2,5.33
10750,2,1000,2,5.38
10540,2,1000,2,5.27
10700,2,1000,2,5.35
10710,2,1000,2,5.36
10690,2,1000,2,5.34
10560,2,1000,2,5.28
65910,166,1000,2,32.95
99530,1,1000,2,49.77
22250,1,1000,2,11.12
2520,1,1000,2,1.26
